ID,MA_KEHOACH,MA_HOPDONG_TINDUNG,SODU_DAUKI,SO_KY,NGAY_DAUKI,NGAY_CUOIKY,SONGAY_TINHLAI,LAISUAT,GOC_PHAITRA,LAI_PHAITRA,TONG_TIEN
27,KH-CTRA001258-3,CTRA001258,2083333334,3,2023-07-27,2023-08-26,31,14.89,208333333,26346461,234679794
28,KH-CTRA001258-4,CTRA001258,1875000001,4,2023-08-27,2023-09-26,31,14.89,208333333,23711815,232045148
29,KH-CTRA001258-5,CTRA001258,1666666668,5,2023-09-27,2023-10-26,30,14.89,208333333,20397260,228730593
30,KH-CTRA001258-6,CTRA001258,1458333335,6,2023-10-27,2023-11-26,31,14.89,208333333,18442523,226775856
31,KH-CTRA001258-7,CTRA001258,1250000002,7,2023-11-27,2023-12-26,30,14.89,208333333,15297945,223631278
32,KH-CTRA001258-8,CTRA001258,1041666669,8,2023-12-27,2024-01-26,31,14.89,208333333,13173231,221506564
33,KH-CTRA001258-9,CTRA001258,833333336,9,2024-01-27,2024-02-26,31,14.89,208333333,10538585,218871918
34,KH-CTRA001258-10,CTRA001258,625000003,10,2024-02-27,2024-03-26,29,14.89,208333333,7394007,215727340
35,KH-CTRA001258-11,CTRA001258,416666670,11,2024-03-27,2024-04-26,31,14.89,208333333,5269292,213602625
36,KH-CTRA001258-12,CTRA001258,208333337,12,2024-04-27,2024-05-27,31,14.89,208333337,2634646,210967979
37,KH-CTRA001263-1,CTRA001263,3000000000,1,2023-01-26,2023-02-25,31,15.1,250000000,38473973,288473973
38,KH-CTRA001263-2,CTRA001263,2750000000,2,2023-02-26,2023-03-25,28,15.1,250000000,31854795,281854795
39,KH-CTRA001263-3,CTRA001263,2500000000,3,2023-03-26,2023-04-25,31,15.1,250000000,32061644,282061644
40,KH-CTRA001263-4,CTRA001263,2250000000,4,2023-04-26,2023-05-25,30,15.1,250000000,27924658,277924658
41,KH-CTRA001263-5,CTRA001263,2000000000,5,2023-05-26,2023-06-25,31,15.1,250000000,25649315,275649315
42,KH-CTRA001263-6,CTRA001263,1750000000,6,2023-06-26,2023-07-25,30,15.1,250000000,21719178,271719178
43,KH-CTRA001263-7,CTRA001263,1500000000,7,2023-07-26,2023-08-25,31,15.1,250000000,19236986,269236986
44,KH-CTRA001263-8,CTRA001263,1250000000,8,2023-08-26,2023-09-25,31,15.1,250000000,16030822,266030822
45,KH-CTRA001263-9,CTRA001263,1000000000,9,2023-09-26,2023-10-25,30,15.1,250000000,12410959,262410959
46,KH-CTRA001263-10,CTRA001263,750000000,10,2023-10-26,2023-11-25,31,15.1,250000000,9618493,259618493
47,KH-CTRA001263-11,CTRA001263,500000000,11,2023-11-26,2023-12-25,30,15.1,250000000,6205479,256205479
48,KH-CTRA001263-12,CTRA001263,250000000,12,2023-12-26,2024-01-26,32,15.1,250000000,3309589,253309589
49,KH-CTRA001264-1,CTRA001264,10000000000,1,2023-01-09,2023-02-08,31,15.1,166666667,128246575,294913242
50,KH-CTRA001264-2,CTRA001264,9833333333,2,2023-02-09,2023-03-08,28,15.1,166666667,113905023,280571690
51,KH-CTRA001264-3,CTRA001264,9666666666,3,2023-03-09,2023-04-08,31,15.1,166666667,123971689,290638356
52,KH-CTRA001264-4,CTRA001264,9499999999,4,2023-04-09,2023-05-08,30,15.1,166666667,117904110,284570777
53,KH-CTRA001264-5,CTRA001264,9333333332,5,2023-05-09,2023-06-08,31,15.1,166666667,119696804,286363471
54,KH-CTRA001264-6,CTRA001264,9166666665,6,2023-06-09,2023-07-08,30,15.1,166666667,113767123,280433790
55,KH-CTRA001264-7,CTRA001264,8999999998,7,2023-07-09,2023-08-08,31,15.1,166666667,115421918,282088585
56,KH-CTRA001264-8,CTRA001264,8833333331,8,2023-08-09,2023-09-08,31,15.1,166666667,113284475,279951142
57,KH-CTRA001264-9,CTRA001264,8666666664,9,2023-09-09,2023-10-08,30,15.1,166666667,107561644,274228311
58,KH-CTRA001264-10,CTRA001264,8499999997,10,2023-10-09,2023-11-08,31,15.1,166666667,109009589,275676256
59,KH-CTRA001264-11,CTRA001264,8333333330,11,2023-11-09,2023-12-08,30,15.1,166666667,103424657,270091324
60,KH-CTRA001264-12,CTRA001264,8166666663,12,2023-12-09,2024-01-08,31,15.1,166666667,104734703,271401370
61,KH-CTRA001264-13,CTRA001264,7999999996,13,2024-01-09,2024-02-08,31,15.1,166666667,102597260,269263927
62,KH-CTRA001264-14,CTRA001264,7833333329,14,2024-02-09,2024-03-08,29,15.1,166666667,93978539,260645206
63,KH-CTRA001264-15,CTRA001264,7666666662,15,2024-03-09,2024-04-08,31,15.1,166666667,98322374,264989041
64,KH-CTRA001264-16,CTRA001264,7499999995,16,2024-04-09,2024-05-08,30,15.1,166666667,93082192,259748859
65,KH-CTRA001264-17,CTRA001264,7333333328,17,2024-05-09,2024-06-08,31,15.1,166666667,94047489,260714156
66,KH-CTRA001264-18,CTRA001264,7166666661,18,2024-06-09,2024-07-08,30,15.1,166666667,88945205,255611872
67,KH-CTRA001264-19,CTRA001264,6999999994,19,2024-07-09,2024-08-08,31,15.1,166666667,89772603,256439270
68,KH-CTRA001264-20,CTRA001264,6833333327,20,2024-08-09,2024-09-08,31,15.1,166666667,87635160,254301827
69,KH-CTRA001264-21,CTRA001264,6666666660,21,2024-09-09,2024-10-08,30,15.1,166666667,82739726,249406393
70,KH-CTRA001264-22,CTRA001264,6499999993,22,2024-10-09,2024-11-08,31,15.1,166666667,83360274,250026941
71,KH-CTRA001264-23,CTRA001264,6333333326,23,2024-11-09,2024-12-08,30,15.1,166666667,78602740,245269407
72,KH-CTRA001264-24,CTRA001264,6166666659,24,2024-12-09,2025-01-08,31,15.1,166666667,79085388,245752055
73,KH-CTRA001264-25,CTRA001264,5999999992,25,2025-01-09,2025-02-08,31,15.1,166666667,76947945,243614612
74,KH-CTRA001264-26,CTRA001264,5833333325,26,2025-02-09,2025-03-08,28,15.1,166666667,67570776,234237443
75,KH-CTRA001264-27,CTRA001264,5666666658,27,2025-03-09,2025-04-08,31,15.1,166666667,72673059,239339726
76,KH-CTRA001264-28,CTRA001264,5499999991,28,2025-04-09,2025-05-08,30,15.1,166666667,68260274,234926941
77,KH-CTRA001264-29,CTRA001264,5333333324,29,2025-05-09,2025-06-08,31,15.1,166666667,68398173,235064840
78,KH-CTRA001264-30,CTRA001264,5166666657,30,2025-06-09,2025-07-08,30,15.1,166666667,64123288,230789955
79,KH-CTRA001264-31,CTRA001264,4999999990,31,2025-07-09,2025-08-08,31,15.1,166666667,64123288,230789955
80,KH-CTRA001264-32,CTRA001264,4833333323,32,2025-08-09,2025-09-08,31,15.1,166666667,61985845,228652512
81,KH-CTRA001264-33,CTRA001264,4666666656,33,2025-09-09,2025-10-08,30,15.1,166666667,57917808,224584475
82,KH-CTRA001264-34,CTRA001264,4499999989,34,2025-10-09,2025-11-08,31,15.1,166666667,57710959,224377626
83,KH-CTRA001264-35,CTRA001264,4333333322,35,2025-11-09,2025-12-08,30,15.1,166666667,53780822,220447489
84,KH-CTRA001264-36,CTRA001264,4166666655,36,2025-12-09,2026-01-08,31,15.1,166666667,53436073,220102740
85,KH-CTRA001264-37,CTRA001264,3999999988,37,2026-01-09,2026-02-08,31,15.1,166666667,51298630,217965297
86,KH-CTRA001264-38,CTRA001264,3833333321,38,2026-02-09,2026-03-08,28,15.1,166666667,44403653,211070320
87,KH-CTRA001264-39,CTRA001264,3666666654,39,2026-03-09,2026-04-08,31,15.1,166666667,47023744,213690411
88,KH-CTRA001264-40,CTRA001264,3499999987,40,2026-04-09,2026-05-08,30,15.1,166666667,43438356,210105023
89,KH-CTRA001264-41,CTRA001264,3333333320,41,2026-05-09,2026-06-08,31,15.1,166666667,42748858,209415525
90,KH-CTRA001264-42,CTRA001264,3166666653,42,2026-06-09,2026-07-08,30,15.1,166666667,39301370,205968037
91,KH-CTRA001264-43,CTRA001264,2999999986,43,2026-07-09,2026-08-08,31,15.1,166666667,38473972,205140639
92,KH-CTRA001264-44,CTRA001264,2833333319,44,2026-08-09,2026-09-08,31,15.1,166666667,36336529,203003196
93,KH-CTRA001264-45,CTRA001264,2666666652,45,2026-09-09,2026-10-08,30,15.1,166666667,33095890,199762557
94,KH-CTRA001264-46,CTRA001264,2499999985,46,2026-10-09,2026-11-08,31,15.1,166666667,32061644,198728311
95,KH-CTRA001264-47,CTRA001264,2333333318,47,2026-11-09,2026-12-08,30,15.1,166666667,28958904,195625571
96,KH-CTRA001264-48,CTRA001264,2166666651,48,2026-12-09,2027-01-08,31,15.1,166666667,27786758,194453425
97,KH-CTRA001264-49,CTRA001264,1999999984,49,2027-01-09,2027-02-08,31,15.1,166666667,25649315,192315982
98,KH-CTRA001264-50,CTRA001264,1833333317,50,2027-02-09,2027-03-08,28,15.1,166666667,21236529,187903196
99,KH-CTRA001264-51,CTRA001264,1666666650,51,2027-03-09,2027-04-08,31,15.1,166666667,21374429,188041096
100,KH-CTRA001264-52,CTRA001264,1499999983,52,2027-04-09,2027-05-08,30,15.1,166666667,18616438,185283105
101,KH-CTRA001264-53,CTRA001264,1333333316,53,2027-05-09,2027-06-08,31,15.1,166666667,17099543,183766210
102,KH-CTRA001264-54,CTRA001264,1166666649,54,2027-06-09,2027-07-08,30,15.1,166666667,14479452,181146119
103,KH-CTRA001264-55,CTRA001264,999999982,55,2027-07-09,2027-08-08,31,15.1,166666667,12824657,179491324
104,KH-CTRA001264-56,CTRA001264,833333315,56,2027-08-09,2027-09-08,31,15.1,166666667,10687214,177353881
105,KH-CTRA001264-57,CTRA001264,666666648,57,2027-09-09,2027-10-08,30,15.1,166666667,8273972,174940639
106,KH-CTRA001264-58,CTRA001264,499999981,58,2027-10-09,2027-11-08,31,15.1,166666667,6412329,173078996
107,KH-CTRA001264-59,CTRA001264,333333314,59,2027-11-09,2027-12-08,30,15.1,166666667,4136986,170803653
108,KH-CTRA001264-60,CTRA001264,166666647,60,2027-12-09,2028-01-09,32,15.1,166666647,2206392,168873059
109,KH-CTRA001269-1,CTRA001269,4425000000,1,2022-09-15,2022-10-14,30,14.75,92187500,53645548,145833048
110,KH-CTRA001269-2,CTRA001269,4332812500,2,2022-10-15,2022-11-14,31,14.75,92187500,54278863,146466363
111,KH-CTRA001269-3,CTRA001269,4240625000,3,2022-11-15,2022-12-14,30,14.75,92187500,51410317,143597817
112,KH-CTRA001269-4,CTRA001269,4148437500,4,2022-12-15,2023-01-14,31,14.75,92187500,51969125,144156625
113,KH-CTRA001269-5,CTRA001269,4056250000,5,2023-01-15,2023-02-14,31,14.75,92187500,50814255,143001755
114,KH-CTRA001269-6,CTRA001269,3964062500,6,2023-02-15,2023-03-14,28,14.75,92187500,44853639,137041139
115,KH-CTRA001269-7,CTRA001269,3871875000,7,2023-03-15,2023-04-14,31,14.75,92187500,48504516,140692016
116,KH-CTRA001269-8,CTRA001269,3779687500,8,2023-04-15,2023-05-14,30,14.75,92187500,45822239,138009739
117,KH-CTRA001269-9,CTRA001269,3687500000,9,2023-05-15,2023-06-14,31,14.75,92187500,46194777,138382277
118,KH-CTRA001269-10,CTRA001269,3595312500,10,2023-06-15,2023-07-14,30,14.75,92187500,43587008,135774508
119,KH-CTRA001269-11,CTRA001269,3503125000,11,2023-07-15,2023-08-14,31,14.75,92187500,43885039,136072539
120,KH-CTRA001269-12,CTRA001269,3410937500,12,2023-08-15,2023-09-14,31,14.75,92187500,42730169,134917669
121,KH-CTRA001269-13,CTRA001269,3318750000,13,2023-09-15,2023-10-14,30,14.75,92187500,40234161,132421661
122,KH-CTRA001269-14,CTRA001269,3226562500,14,2023-10-15,2023-11-14,31,14.75,92187500,40420430,132607930
123,KH-CTRA001269-15,CTRA001269,3134375000,15,2023-11-15,2023-12-14,30,14.75,92187500,37998930,130186430
124,KH-CTRA001269-16,CTRA001269,3042187500,16,2023-12-15,2024-01-14,31,14.75,92187500,38110691,130298191
125,KH-CTRA001269-17,CTRA001269,2950000000,17,2024-01-15,2024-02-14,31,14.75,92187500,36955822,129143322
126,KH-CTRA001269-18,CTRA001269,2857812500,18,2024-02-15,2024-03-14,29,14.75,92187500,33491214,125678714
127,KH-CTRA001269-19,CTRA001269,2765625000,19,2024-03-15,2024-04-14,31,14.75,92187500,34646083,126833583
128,KH-CTRA001269-20,CTRA001269,2673437500,20,2024-04-15,2024-05-14,30,14.75,92187500,32410852,124598352
129,KH-CTRA001269-21,CTRA001269,2581250000,21,2024-05-15,2024-06-14,31,14.75,92187500,32336344,124523844
130,KH-CTRA001269-22,CTRA001269,2489062500,22,2024-06-15,2024-07-14,30,14.75,92187500,30175621,122363121
131,KH-CTRA001269-23,CTRA001269,2396875000,23,2024-07-15,2024-08-14,31,14.75,92187500,30026605,122214105
132,KH-CTRA001269-24,CTRA001269,2304687500,24,2024-08-15,2024-09-14,31,14.75,92187500,28871736,121059236
133,KH-CTRA001269-25,CTRA001269,2212500000,25,2024-09-15,2024-10-14,30,14.75,92187500,26822774,119010274
134,KH-CTRA001269-26,CTRA001269,2120312500,26,2024-10-15,2024-11-14,31,14.75,92187500,26561997,118749497
135,KH-CTRA001269-27,CTRA001269,2028125000,27,2024-11-15,2024-12-14,30,14.75,92187500,24587543,116775043
136,KH-CTRA001269-28,CTRA001269,1935937500,28,2024-12-15,2025-01-14,31,14.75,92187500,24252258,116439758
137,KH-CTRA001269-29,CTRA001269,1843750000,29,2025-01-15,2025-02-14,31,14.75,92187500,23097389,115284889
138,KH-CTRA001269-30,CTRA001269,1751562500,30,2025-02-15,2025-03-14,28,14.75,92187500,19819050,112006550
139,KH-CTRA001269-31,CTRA001269,1659375000,31,2025-03-15,2025-04-14,31,14.75,92187500,20787650,112975150
140,KH-CTRA001269-32,CTRA001269,1567187500,32,2025-04-15,2025-05-14,30,14.75,92187500,18999465,111186965
141,KH-CTRA001269-33,CTRA001269,1475000000,33,2025-05-15,2025-06-14,31,14.75,92187500,18477911,110665411
142,KH-CTRA001269-34,CTRA001269,1382812500,34,2025-06-15,2025-07-14,30,14.75,92187500,16764234,108951734
143,KH-CTRA001269-35,CTRA001269,1290625000,35,2025-07-15,2025-08-14,31,14.75,92187500,16168172,108355672
144,KH-CTRA001269-36,CTRA001269,1198437500,36,2025-08-15,2025-09-14,31,14.75,92187500,15013303,107200803
145,KH-CTRA001269-37,CTRA001269,1106250000,37,2025-09-15,2025-10-14,30,14.75,92187500,13411387,105598887
146,KH-CTRA001269-38,CTRA001269,1014062500,38,2025-10-15,2025-11-14,31,14.75,92187500,12703564,104891064
147,KH-CTRA001269-39,CTRA001269,921875000,39,2025-11-15,2025-12-14,30,14.75,92187500,11176156,103363656
148,KH-CTRA001269-40,CTRA001269,829687500,40,2025-12-15,2026-01-14,31,14.75,92187500,10393825,102581325
149,KH-CTRA001269-41,CTRA001269,737500000,41,2026-01-15,2026-02-14,31,14.75,92187500,9238955,101426455
150,KH-CTRA001269-42,CTRA001269,645312500,42,2026-02-15,2026-03-14,28,14.75,92187500,7301755,99489255
151,KH-CTRA001269-43,CTRA001269,553125000,43,2026-03-15,2026-04-14,31,14.75,92187500,6929217,99116717
152,KH-CTRA001269-44,CTRA001269,460937500,44,2026-04-15,2026-05-14,30,14.75,92187500,5588078,97775578
153,KH-CTRA001269-45,CTRA001269,368750000,45,2026-05-15,2026-06-14,31,14.75,92187500,4619478,96806978
154,KH-CTRA001269-46,CTRA001269,276562500,46,2026-06-15,2026-07-14,30,14.75,92187500,3352847,95540347
155,KH-CTRA001269-47,CTRA001269,184375000,47,2026-07-15,2026-08-14,31,14.75,92187500,2309739,94497239
156,KH-CTRA001269-48,CTRA001269,92187500,48,2026-08-15,2026-09-15,32,14.75,92187500,1192123,93379623
157,KH-CTRA002331-1,CTRA002331,550000000000,1,2023-01-24,2023-02-23,31,15.1,15277777778,7053561644,22331339422
158,KH-CTRA002331-2,CTRA002331,534722222222,2,2023-02-24,2023-03-23,28,15.1,15277777778,6193987823,21471765601
159,KH-CTRA002331-3,CTRA002331,519444444444,3,2023-03-24,2023-04-23,31,15.1,15277777778,6661697108,21939474886
160,KH-CTRA002331-4,CTRA002331,504166666666,4,2023-04-24,2023-05-23,30,15.1,15277777778,6257191781,21534969559
161,KH-CTRA002331-5,CTRA002331,488888888888,5,2023-05-24,2023-06-23,31,15.1,15277777778,6269832572,21547610350
162,KH-CTRA002331-6,CTRA002331,473611111110,6,2023-06-24,2023-07-23,30,15.1,15277777778,5877968037,21155745815
163,KH-CTRA002331-7,CTRA002331,458333333332,7,2023-07-24,2023-08-23,31,15.1,15277777778,5877968037,21155745815
164,KH-CTRA002331-8,CTRA002331,443055555554,8,2023-08-24,2023-09-23,31,15.1,15277777778,5682035769,20959813547
165,KH-CTRA002331-9,CTRA002331,427777777776,9,2023-09-24,2023-10-23,30,15.1,15277777778,5309132420,20586910198
166,KH-CTRA002331-10,CTRA002331,412499999998,10,2023-10-24,2023-11-23,31,15.1,15277777778,5290171233,20567949011
167,KH-CTRA002331-11,CTRA002331,397222222220,11,2023-11-24,2023-12-23,30,15.1,15277777778,4929908676,20207686454
168,KH-CTRA002331-12,CTRA002331,381944444442,12,2023-12-24,2024-01-23,31,15.1,15277777778,4898306697,20176084475
169,KH-CTRA002331-13,CTRA002331,366666666664,13,2024-01-24,2024-02-23,31,15.1,15277777778,4702374429,19980152207
170,KH-CTRA002331-14,CTRA002331,351388888886,14,2024-02-24,2024-03-23,29,15.1,15277777778,4215703957,19493481735
171,KH-CTRA002331-15,CTRA002331,336111111108,15,2024-03-24,2024-04-23,31,15.1,15277777778,4310509893,19588287671
172,KH-CTRA002331-16,CTRA002331,320833333330,16,2024-04-24,2024-05-23,30,15.1,15277777778,3981849315,19259627093
173,KH-CTRA002331-17,CTRA002331,305555555552,17,2024-05-24,2024-06-23,31,15.1,15277777778,3918645358,19196423136
174,KH-CTRA002331-18,CTRA002331,290277777774,18,2024-06-24,2024-07-23,30,15.1,15277777778,3602625571,18880403349
175,KH-CTRA002331-19,CTRA002331,274999999996,19,2024-07-24,2024-08-23,31,15.1,15277777778,3526780822,18804558600
176,KH-CTRA002331-20,CTRA002331,259722222218,20,2024-08-24,2024-09-23,31,15.1,15277777778,3330848554,18608626332
177,KH-CTRA002331-21,CTRA002331,244444444440,21,2024-09-24,2024-10-23,30,15.1,15277777778,3033789954,18311567732
178,KH-CTRA002331-22,CTRA002331,229166666662,22,2024-10-24,2024-11-23,31,15.1,15277777778,2938984018,18216761796
179,KH-CTRA002331-23,CTRA002331,213888888884,23,2024-11-24,2024-12-23,30,15.1,15277777778,2654566210,17932343988
180,KH-CTRA002331-24,CTRA002331,198611111106,24,2024-12-24,2025-01-23,31,15.1,15277777778,2547119482,17824897260
181,KH-CTRA002331-25,CTRA002331,183333333328,25,2025-01-24,2025-02-23,31,15.1,15277777778,2351187215,17628964993
182,KH-CTRA002331-26,CTRA002331,168055555550,26,2025-02-24,2025-03-23,28,15.1,15277777778,1946681887,17224459665
183,KH-CTRA002331-27,CTRA002331,152777777772,27,2025-03-24,2025-04-23,31,15.1,15277777778,1959322679,17237100457
184,KH-CTRA002331-28,CTRA002331,137499999994,28,2025-04-24,2025-05-23,30,15.1,15277777778,1706506849,16984284627
185,KH-CTRA002331-29,CTRA002331,122222222216,29,2025-05-24,2025-06-23,31,15.1,15277777778,1567458143,16845235921
186,KH-CTRA002331-30,CTRA002331,106944444438,30,2025-06-24,2025-07-23,30,15.1,15277777778,1327283105,16605060883
187,KH-CTRA002331-31,CTRA002331,91666666660,31,2025-07-24,2025-08-23,31,15.1,15277777778,1175593607,16453371385
188,KH-CTRA002331-32,CTRA002331,76388888882,32,2025-08-24,2025-09-23,31,15.1,15277777778,979661339,16257439117
189,KH-CTRA002331-33,CTRA002331,61111111104,33,2025-09-24,2025-10-23,30,15.1,15277777778,758447488,16036225266
190,KH-CTRA002331-34,CTRA002331,45833333326,34,2025-10-24,2025-11-23,31,15.1,15277777778,587796804,15865574582
191,KH-CTRA002331-35,CTRA002331,30555555548,35,2025-11-24,2025-12-23,30,15.1,15277777778,379223744,15657001522
192,KH-CTRA002331-36,CTRA002331,15277777770,36,2025-12-24,2026-01-24,32,15.1,15277777770,202252664,15480030442
193,KH-CTRA002769-1,CTRA002769,20000000000,1,2022-08-13,2022-09-12,31,14.75,333333333,250547945,583881278
194,KH-CTRA002769-2,CTRA002769,19666666667,2,2022-09-13,2022-10-12,30,14.75,333333333,238424658,571757991
195,KH-CTRA002769-3,CTRA002769,19333333334,3,2022-10-13,2022-11-12,31,14.75,333333333,242196347,575529680
196,KH-CTRA002769-4,CTRA002769,19000000001,4,2022-11-13,2022-12-12,30,14.75,333333333,230342466,563675799
197,KH-CTRA002769-5,CTRA002769,18666666668,5,2022-12-13,2023-01-12,31,14.75,333333333,233844749,567178082
198,KH-CTRA002769-6,CTRA002769,18333333335,6,2023-01-13,2023-02-12,31,14.75,333333333,229668950,563002283
199,KH-CTRA002769-7,CTRA002769,18000000002,7,2023-02-13,2023-03-12,28,14.75,333333333,203671233,537004566
200,KH-CTRA002769-8,CTRA002769,17666666669,8,2023-03-13,2023-04-12,31,14.75,333333333,221317352,554650685
201,KH-CTRA002769-9,CTRA002769,17333333336,9,2023-04-13,2023-05-12,30,14.75,333333333,210136986,543470319
202,KH-CTRA002769-10,CTRA002769,17000000003,10,2023-05-13,2023-06-12,31,14.75,333333333,212965753,546299086
203,KH-CTRA002769-11,CTRA002769,16666666670,11,2023-06-13,2023-07-12,30,14.75,333333333,202054795,535388128
204,KH-CTRA002769-12,CTRA002769,16333333337,12,2023-07-13,2023-08-12,31,14.75,333333333,204614155,537947488
205,KH-CTRA002769-13,CTRA002769,16000000004,13,2023-08-13,2023-09-12,31,14.75,333333333,200438356,533771689
206,KH-CTRA002769-14,CTRA002769,15666666671,14,2023-09-13,2023-10-12,30,14.75,333333333,189931507,523264840
207,KH-CTRA002769-15,CTRA002769,15333333338,15,2023-10-13,2023-11-12,31,14.75,333333333,192086758,525420091
208,KH-CTRA002769-16,CTRA002769,15000000005,16,2023-11-13,2023-12-12,30,14.75,333333333,181849315,515182648
209,KH-CTRA002769-17,CTRA002769,14666666672,17,2023-12-13,2024-01-12,31,14.75,333333333,183735160,517068493
210,KH-CTRA002769-18,CTRA002769,14333333339,18,2024-01-13,2024-02-12,31,14.75,333333333,179559361,512892694
211,KH-CTRA002769-19,CTRA002769,14000000006,19,2024-02-13,2024-03-12,29,14.75,333333333,164068493,497401826
212,KH-CTRA002769-20,CTRA002769,13666666673,20,2024-03-13,2024-04-12,31,14.75,333333333,171207763,504541096
213,KH-CTRA002769-21,CTRA002769,13333333340,21,2024-04-13,2024-05-12,30,14.75,333333333,161643836,494977169
214,KH-CTRA002769-22,CTRA002769,13000000007,22,2024-05-13,2024-06-12,31,14.75,333333333,162856164,496189497
215,KH-CTRA002769-23,CTRA002769,12666666674,23,2024-06-13,2024-07-12,30,14.75,333333333,153561644,486894977
216,KH-CTRA002769-24,CTRA002769,12333333341,24,2024-07-13,2024-08-12,31,14.75,333333333,154504566,487837899
217,KH-CTRA002769-25,CTRA002769,12000000008,25,2024-08-13,2024-09-12,31,14.75,333333333,150328767,483662100
218,KH-CTRA002769-26,CTRA002769,11666666675,26,2024-09-13,2024-10-12,30,14.75,333333333,141438356,474771689
219,KH-CTRA002769-27,CTRA002769,11333333342,27,2024-10-13,2024-11-12,31,14.75,333333333,141977169,475310502
220,KH-CTRA002769-28,CTRA002769,11000000009,28,2024-11-13,2024-12-12,30,14.75,333333333,133356164,466689497
221,KH-CTRA002769-29,CTRA002769,10666666676,29,2024-12-13,2025-01-12,31,14.75,333333333,133625571,466958904
222,KH-CTRA002769-30,CTRA002769,10333333343,30,2025-01-13,2025-02-12,31,14.75,333333333,129449772,462783105
223,KH-CTRA002769-31,CTRA002769,10000000010,31,2025-02-13,2025-03-12,28,14.75,333333333,113150685,446484018
224,KH-CTRA002769-32,CTRA002769,9666666677,32,2025-03-13,2025-04-12,31,14.75,333333333,121098174,454431507
225,KH-CTRA002769-33,CTRA002769,9333333344,33,2025-04-13,2025-05-12,30,14.75,333333333,113150685,446484018
226,KH-CTRA002769-34,CTRA002769,9000000011,34,2025-05-13,2025-06-12,31,14.75,333333333,112746575,446079908
227,KH-CTRA002769-35,CTRA002769,8666666678,35,2025-06-13,2025-07-12,30,14.75,333333333,105068493,438401826
228,KH-CTRA002769-36,CTRA002769,8333333345,36,2025-07-13,2025-08-12,31,14.75,333333333,104394977,437728310
