ID,MA_HOPDONG_TINDUNG,SO_KY,NGAY_TRA,TRA_GOC,TRA_LAI
53,CTRA001264,8,2023-09-08,166666667,113284475
54,CTRA001264,9,2023-10-08,166666667,107561644
55,CTRA001264,10,2023-11-08,166666667,109009589
56,CTRA001264,11,2023-12-08,166666667,103424657
57,CTRA001264,12,2024-01-08,166666667,104734703
58,CTRA001264,13,2024-02-08,166666667,102597260
59,CTRA001264,14,2024-03-08,166666667,93978539
60,CTRA001264,15,2024-04-08,166666667,98322374
61,CTRA001264,16,2024-05-08,166666667,93082192
62,CTRA001264,17,2024-06-08,166666667,94047489
63,CTRA001264,18,2024-07-08,166666667,88945205
64,CTRA001264,19,2024-08-08,166666667,89772603
65,CTRA001264,20,2024-09-08,166666667,87635160
66,CTRA001264,21,2024-10-08,166666667,82739726
67,CTRA001264,22,2024-11-08,166666667,83360274
68,CTRA001264,23,2024-12-08,166666667,78602740
69,CTRA001269,1,2022-10-14,92187500,53645548
70,CTRA001269,2,2022-11-14,92187500,54278863
71,CTRA001269,3,2022-12-14,92187500,51410317
72,CTRA001269,4,2023-01-14,92187500,51969125
73,CTRA001269,5,2023-02-14,92187500,50814255
74,CTRA001269,6,2023-03-14,92187500,44853639
75,CTRA001269,7,2023-04-14,92187500,48504516
76,CTRA001269,8,2023-05-14,92187500,45822239
77,CTRA001269,9,2023-06-14,92187500,46194777
78,CTRA001269,10,2023-07-14,92187500,43587008
79,CTRA001269,11,2023-08-14,92187500,43885039
80,CTRA001269,12,2023-09-14,92187500,42730169
81,CTRA001269,13,2023-10-14,92187500,40234161
82,CTRA001269,14,2023-11-14,92187500,40420430
83,CTRA001269,15,2023-12-14,92187500,37998930
84,CTRA001269,16,2024-01-14,92187500,38110691
85,CTRA001269,17,2024-02-14,92187500,36955822
86,CTRA001269,18,2024-03-14,92187500,33491214
87,CTRA001269,19,2024-04-14,92187500,34646083
88,CTRA001269,20,2024-05-14,92187500,32410852
89,CTRA001269,21,2024-06-14,92187500,32336344
90,CTRA001269,22,2024-07-14,92187500,30175621
91,CTRA001269,23,2024-08-14,92187500,30026605
92,CTRA001269,24,2024-09-14,92187500,28871736
93,CTRA001269,25,2024-10-14,92187500,26822774
94,CTRA001269,26,2024-11-14,92187500,26561997
95,CTRA001269,27,2024-12-14,92187500,24587543
96,CTRA002331,1,2023-02-23,15277777778,7053561644
97,CTRA002331,2,2023-03-23,15277777778,6193987823
98,CTRA002331,3,2023-04-23,15277777778,6661697108
99,CTRA002331,4,2023-05-23,15277777778,6257191781
100,CTRA002331,5,2023-06-23,15277777778,6269832572
101,CTRA002331,6,2023-07-23,15277777778,5877968037
102,CTRA002331,7,2023-08-23,15277777778,5877968037
103,CTRA002331,8,2023-09-23,15277777778,5682035769
104,CTRA002331,9,2023-10-23,15277777778,5309132420
105,CTRA002331,10,2023-11-23,15277777778,5290171233
106,CTRA002331,11,2023-12-23,15277777778,4929908676
107,CTRA002331,12,2024-01-23,15277777778,4898306697
108,CTRA002331,13,2024-02-23,15277777778,4702374429
109,CTRA002331,14,2024-03-23,15277777778,4215703957
110,CTRA002331,15,2024-04-23,15277777778,4310509893
111,CTRA002331,16,2024-05-23,15277777778,3981849315
112,CTRA002331,17,2024-06-23,15277777778,3918645358
113,CTRA002331,18,2024-07-23,15277777778,3602625571
114,CTRA002331,19,2024-08-23,15277777778,3526780822
115,CTRA002331,20,2024-09-23,15277777778,3330848554
116,CTRA002331,21,2024-10-23,15277777778,3033789954
117,CTRA002331,22,2024-11-23,15277777778,2938984018
118,CTRA002331,23,2024-12-23,15277777778,2654566210
119,CTRA002769,1,2022-09-12,333333333,250547945
120,CTRA002769,2,2022-10-12,333333333,238424658
121,CTRA002769,3,2022-11-12,333333333,242196347
122,CTRA002769,4,2022-12-12,333333333,230342466
123,CTRA002769,5,2023-01-12,333333333,233844749
124,CTRA002769,6,2023-02-12,333333333,229668950
125,CTRA002769,7,2023-03-12,333333333,203671233
126,CTRA002769,8,2023-04-12,333333333,221317352
127,CTRA002769,9,2023-05-12,333333333,210136986
128,CTRA002769,10,2023-06-12,333333333,212965753
129,CTRA002769,11,2023-07-12,333333333,202054795
130,CTRA002769,12,2023-08-12,333333333,204614155
131,CTRA002769,13,2023-09-12,333333333,200438356
132,CTRA002769,14,2023-10-12,333333333,189931507
133,CTRA002769,15,2023-11-12,333333333,192086758
134,CTRA002769,16,2023-12-12,333333333,181849315
135,CTRA002769,17,2024-01-12,333333333,183735160
136,CTRA002769,18,2024-02-12,333333333,179559361
137,CTRA002769,19,2024-03-12,333333333,164068493
138,CTRA002769,20,2024-04-12,333333333,171207763
139,CTRA002769,21,2024-05-12,333333333,161643836
140,CTRA002769,22,2024-06-12,333333333,162856164
141,CTRA002769,23,2024-07-12,333333333,153561644
142,CTRA002769,24,2024-08-12,333333333,154504566
143,CTRA002769,25,2024-09-12,333333333,150328767
144,CTRA002769,26,2024-10-12,333333333,141438356
145,CTRA002769,27,2024-11-12,333333333,141977169
146,CTRA002769,28,2024-12-12,333333333,133356164
147,CTRA002814,1,2022-01-19,500000000,342698630
148,CTRA002814,2,2022-02-19,500000000,336986986
149,CTRA002814,3,2022-03-19,500000000,299216438
150,CTRA002814,4,2022-04-19,500000000,325563699
151,CTRA002814,5,2022-05-19,500000000,309534247
152,CTRA002814,6,2022-06-19,500000000,314140411
153,CTRA002814,7,2022-07-19,500000000,298479452
154,CTRA002814,8,2022-08-19,500000000,302717123
155,CTRA002814,9,2022-09-19,500000000,297005479
156,CTRA002814,10,2022-10-19,500000000,281897260
157,CTRA002814,11,2022-11-19,500000000,285582192
158,CTRA002814,12,2022-12-19,500000000,270842466
159,CTRA002814,13,2023-01-19,500000000,274158904
160,CTRA002814,14,2023-02-19,500000000,268447260
161,CTRA002814,15,2023-03-19,500000000,237309589
162,CTRA002814,16,2023-04-19,500000000,257023973
163,CTRA002814,17,2023-05-19,500000000,243205479
164,CTRA002814,18,2023-06-19,500000000,245600685
165,CTRA002814,19,2023-07-19,500000000,232150685
166,CTRA002814,20,2023-08-19,500000000,234177397
167,CTRA002814,21,2023-09-19,500000000,228465753
168,CTRA002814,22,2023-10-19,500000000,215568493
169,CTRA002814,23,2023-11-19,500000000,217042466
170,CTRA002814,24,2023-12-19,500000000,204513699
171,CTRA002814,25,2024-01-19,500000000,205619178
172,CTRA002814,26,2024-02-19,500000000,199907534
173,CTRA002814,27,2024-03-19,500000000,181667123
174,CTRA002814,28,2024-04-19,500000000,188484247
175,CTRA002814,29,2024-05-19,500000000,176876712
176,CTRA002814,30,2024-06-19,500000000,177060959
177,CTRA002814,31,2024-07-19,500000000,165821918
178,CTRA002814,32,2024-08-19,500000000,165637671
179,CTRA002814,33,2024-09-19,500000000,159926027
180,CTRA002814,34,2024-10-19,500000000,149239726
181,CTRA002814,35,2024-11-19,500000000,148502740
182,CTRA002814,36,2024-12-19,500000000,138184932
183,CTRA002877,1,2023-02-04,666666667,104635616
184,CTRA002877,2,2023-03-04,666666667,86633790
185,CTRA002877,3,2023-04-04,666666667,87196347
186,CTRA002877,4,2023-05-04,666666667,75945205
187,CTRA002877,5,2023-06-04,666666667,69757078
188,CTRA002877,6,2023-07-04,666666667,59068493
189,CTRA002877,7,2023-08-04,666666667,52317808
190,CTRA002877,8,2023-09-04,666666667,43598173
191,CTRA002877,9,2023-10-04,666666667,33753425
192,CTRA002877,10,2023-11-04,666666667,26158904
193,CTRA002877,11,2023-12-04,666666667,16876712
194,CTRA002877,12,2024-01-05,666666663,9000913
195,CTRA002880,1,2023-04-06,108333333,15843973
196,CTRA002880,2,2023-05-06,108333333,14055137
197,CTRA002880,3,2023-06-06,108333333,13203311
198,CTRA002880,4,2023-07-06,108333333,11499658
199,CTRA002880,5,2023-08-06,108333333,10562648
200,CTRA002880,6,2023-09-06,108333333,9242317
201,CTRA002880,7,2023-10-06,108333333,7666438
202,CTRA002880,8,2023-11-06,108333333,6601655
203,CTRA002880,9,2023-12-06,108333333,5110959
204,CTRA002880,10,2024-01-06,108333333,3960993
205,CTRA002880,11,2024-02-06,108333333,2640662
206,CTRA002880,12,2024-03-07,108333337,1277740
207,CTRA002883,1,2022-12-28,72916667,43438356
208,CTRA002883,2,2023-01-28,72916667,43951170
209,CTRA002883,3,2023-02-27,72916667,41628425
210,CTRA002883,4,2023-03-27,72916667,38008562
211,CTRA002883,5,2023-04-27,72916667,41145776
212,CTRA002883,6,2023-05-27,72916667,38913527
213,CTRA002883,7,2023-06-27,72916667,39275514
214,CTRA002883,8,2023-07-27,72916667,37103596
215,CTRA002883,9,2023-08-27,72916667,37405251
216,CTRA002883,10,2023-09-27,72916667,36470120
217,CTRA002883,11,2023-10-27,72916667,34388699
218,CTRA002883,12,2023-11-27,72916667,34599857
219,CTRA002883,13,2023-12-27,72916667,32578767
220,CTRA002883,14,2024-01-27,72916667,32729595
221,CTRA002883,15,2024-02-27,72916667,31794463
222,CTRA002883,16,2024-03-27,72916667,28868407
223,CTRA002883,17,2024-04-27,72916667,29924201
224,CTRA002883,18,2024-05-27,72916667,28053938
225,CTRA002883,19,2024-06-27,72916667,28053938
226,CTRA002883,20,2024-07-27,72916667,26244007
227,CTRA002883,21,2024-08-27,72916667,26183676
228,CTRA002883,22,2024-09-27,72916667,25248544
229,CTRA002883,23,2024-10-27,72916667,23529109
230,CTRA002883,24,2024-11-27,72916667,23378282
231,CTRA002883,25,2024-12-27,72916667,21719178
232,CTRA003240,1,2020-12-03,966666667,688849315
233,CTRA003240,2,2021-01-03,966666667,699947443
234,CTRA003240,3,2021-02-03,966666667,688083927
235,CTRA003240,4,2021-03-03,966666667,610779726
236,CTRA003240,5,2021-04-03,966666667,664356895
237,CTRA003240,6,2021-05-03,966666667,631445205
238,CTRA003240,7,2021-06-03,966666667,640629863
239,CTRA003240,8,2021-07-03,966666667,608483562
240,CTRA003240,9,2021-08-03,966666667,616902831
241,CTRA003240,10,2021-09-03,966666667,605039315
242,CTRA003240,11,2021-10-03,966666667,574041096
243,CTRA003240,12,2021-11-03,966666667,581312283
244,CTRA003240,13,2021-12-03,966666667,551079452
245,CTRA003240,14,2022-01-03,966666667,557585251
246,CTRA003240,15,2022-02-03,966666667,545721735
247,CTRA003240,16,2022-03-03,966666667,482194520
248,CTRA003240,17,2022-04-03,966666667,521994703
249,CTRA003240,18,2022-05-03,966666667,493675342
250,CTRA003240,19,2022-06-03,966666667,498267671
251,CTRA003240,20,2022-07-03,966666667,470713699
252,CTRA003240,21,2022-08-03,966666667,474540639
253,CTRA003240,22,2022-09-03,966666667,462677123
254,CTRA003240,23,2022-10-03,966666667,436271233
255,CTRA003240,24,2022-11-03,966666667,438950091
256,CTRA003240,25,2022-12-03,966666667,413309589
257,CTRA003240,26,2023-01-03,966666667,415223059
258,CTRA003240,27,2023-02-03,966666667,403359543
259,CTRA003240,28,2023-03-03,966666667,353609315
260,CTRA003240,29,2023-04-03,966666667,379632511
261,CTRA003240,30,2023-05-03,966666667,355905479
262,CTRA003240,31,2023-06-03,966666667,355905479
263,CTRA003240,32,2023-07-03,966666667,332943835
264,CTRA003240,33,2023-08-03,966666667,332178447
265,CTRA003240,34,2023-09-03,966666667,320314931
266,CTRA003240,35,2023-10-03,966666667,298501370
267,CTRA003240,36,2023-11-03,966666667,296587899
268,CTRA003240,37,2023-12-03,966666667,275539726
269,CTRA003240,38,2024-01-03,966666667,272860867
270,CTRA003240,39,2024-02-03,966666667,260997351
271,CTRA003240,40,2024-03-03,966666667,233060685
272,CTRA003240,41,2024-04-03,966666667,237270319
273,CTRA003240,42,2024-05-03,966666667,218135616
274,CTRA003240,43,2024-06-03,966666667,213543287
275,CTRA003240,44,2024-07-03,966666667,195173972
276,CTRA003240,45,2024-08-03,966666667,189816256
277,CTRA003240,46,2024-09-03,966666667,177952740
278,CTRA003240,47,2024-10-03,966666667,160731507
279,CTRA003240,48,2024-11-03,966666667,154225708
280,CTRA003240,49,2024-12-03,966666667,137769863
281,CTRA003253,1,2021-10-20,550000000,381082192
282,CTRA003253,2,2021-11-20,550000000,387221849
283,CTRA003253,3,2021-12-20,550000000,368379452
284,CTRA003253,4,2022-01-20,550000000,374095685
285,CTRA003253,5,2022-02-20,550000000,367532603
286,CTRA003253,6,2022-03-20,550000000,326036986
287,CTRA003253,7,2022-04-20,550000000,354406438
288,CTRA003253,8,2022-05-20,550000000,336622603
289,CTRA003253,9,2022-06-20,550000000,341280274
290,CTRA003253,10,2022-07-20,550000000,323919863
291,CTRA003253,11,2022-08-20,550000000,328154110
292,CTRA003253,12,2022-09-20,550000000,321591027
293,CTRA003253,13,2022-10-20,550000000,304865753
294,CTRA003253,14,2022-11-20,550000000,308464863
295,CTRA003253,15,2022-12-20,550000000,292163014
296,CTRA003253,16,2023-01-20,550000000,295338699
297,CTRA003253,17,2023-02-20,550000000,288775616
298,CTRA003253,18,2023-03-20,550000000,254901644
299,CTRA003253,19,2023-04-20,550000000,275649452
300,CTRA003253,20,2023-05-20,550000000,260406164
301,CTRA003253,21,2023-06-20,550000000,262523288
302,CTRA003253,22,2023-07-20,550000000,247703425
303,CTRA003253,23,2023-08-20,550000000,249397123
304,CTRA003253,24,2023-09-20,550000000,242834041
305,CTRA003253,25,2023-10-20,550000000,228649315
306,CTRA003253,26,2023-11-20,550000000,229707877
307,CTRA003253,27,2023-12-20,550000000,215946575
308,CTRA003253,28,2024-01-20,550000000,216581712
309,CTRA003253,29,2024-02-20,550000000,210018630
310,CTRA003253,30,2024-03-20,550000000,190329384
311,CTRA003253,31,2024-04-20,550000000,196892466
312,CTRA003253,32,2024-05-20,550000000,184189726
313,CTRA003253,33,2024-06-20,550000000,183766301
314,CTRA003253,34,2024-07-20,550000000,171486986
315,CTRA003253,35,2024-08-20,550000000,170640137
316,CTRA003253,36,2024-09-20,550000000,164077055
317,CTRA003253,37,2024-10-20,550000000,152432877
318,CTRA003253,38,2024-11-20,550000000,150950890
319,CTRA003253,39,2024-12-20,550000000,139730137
320,CTRA003297,1,2020-08-29,208333333,153407534
321,CTRA003297,2,2020-09-29,208333333,150850742
322,CTRA003297,3,2020-10-29,208333333,143510274
323,CTRA003297,4,2020-11-29,208333333,145737158
324,CTRA003297,5,2020-12-29,208333333,138561644
325,CTRA003297,6,2021-01-29,208333333,140623573
326,CTRA003297,7,2021-02-27,208333333,129159247
327,CTRA003297,8,2021-03-27,208333333,122396119
328,CTRA003297,9,2021-04-27,208333333,132953196
329,CTRA003297,10,2021-05-27,208333333,126190069
330,CTRA003297,11,2021-06-27,208333333,127839612
331,CTRA003297,12,2021-07-27,208333333,121241438
332,CTRA003297,13,2021-08-27,208333333,122726027
333,CTRA003297,14,2021-09-27,208333333,120169235
334,CTRA003297,15,2021-10-27,208333333,113818493
335,CTRA003297,16,2021-11-27,208333333,115055651
336,CTRA003297,17,2021-12-27,208333333,108869863
337,CTRA003297,18,2022-01-27,208333333,109942066
338,CTRA003297,19,2022-02-27,208333333,107385274
339,CTRA003297,20,2022-03-27,208333333,94683790
340,CTRA003297,21,2022-04-27,208333333,102271690
341,CTRA003297,22,2022-05-27,208333333,96498288
342,CTRA003297,23,2022-06-27,208333333,97158105
343,CTRA003297,24,2022-07-27,208333333,91549658
344,CTRA003297,25,2022-08-27,208333333,92044521
345,CTRA003297,26,2022-09-27,208333333,89487728
346,CTRA003297,27,2022-10-27,208333333,84126712
347,CTRA003297,28,2022-11-27,208333333,84374144
348,CTRA003297,29,2022-12-27,208333333,79178082
349,CTRA003297,30,2023-01-27,208333333,79260559
350,CTRA003297,31,2023-02-27,208333333,76703767
351,CTRA003297,32,2023-03-27,208333333,66971461
352,CTRA003297,33,2023-04-27,208333333,71590183
353,CTRA003297,34,2023-05-27,208333333,66806507
354,CTRA003297,35,2023-06-27,208333333,66476598
355,CTRA003297,36,2023-07-27,208333333,61857877
356,CTRA003297,37,2023-08-27,208333333,61363014
357,CTRA003297,38,2023-09-27,208333333,58806222
358,CTRA003297,39,2023-10-27,208333333,54434932
359,CTRA003297,40,2023-11-27,208333333,53692637
360,CTRA003297,41,2023-12-27,208333333,49486302
361,CTRA003297,42,2024-01-27,208333333,48579053
362,CTRA003297,43,2024-02-27,208333333,46022260
363,CTRA003297,44,2024-03-27,208333333,40661244
364,CTRA003297,45,2024-04-27,208333333,40908676
365,CTRA003297,46,2024-05-27,208333333,37114726
366,CTRA003297,47,2024-06-27,208333333,35795092
367,CTRA003297,48,2024-07-27,208333333,32166096
368,CTRA003297,49,2024-08-27,208333333,30681507
369,CTRA003297,50,2024-09-27,208333333,28124715
370,CTRA003297,51,2024-10-27,208333333,24743151
371,CTRA003297,52,2024-11-27,208333333,23011130
372,CTRA003297,53,2024-12-27,208333333,19794521
373,CTRA003335,1,2023-03-08,191666667,26642192
374,CTRA003335,2,2023-04-08,191666667,27038653
375,CTRA003335,3,2023-05-08,191666667,23787671
376,CTRA003335,4,2023-06-08,191666667,22122534
377,CTRA003335,5,2023-07-08,191666667,19030137
378,CTRA003335,6,2023-08-08,191666667,17206416
379,CTRA003335,7,2023-09-08,191666667,14748356
380,CTRA003335,8,2023-10-08,191666667,11893836
381,CTRA003335,9,2023-11-08,191666667,9832237
382,CTRA003335,10,2023-12-08,191666667,7136301
383,CTRA003335,11,2024-01-08,191666667,4916119
384,CTRA003335,12,2024-02-09,191666663,2537352
385,CTRA003910,1,2021-08-11,200000000,145232877
386,CTRA003910,2,2021-09-11,200000000,142812329
387,CTRA003910,3,2021-10-11,200000000,135863014
388,CTRA003910,4,2021-11-11,200000000,137971233
389,CTRA003910,5,2021-12-11,200000000,131178082
390,CTRA003910,6,2022-01-11,200000000,133130137
391,CTRA003910,7,2022-02-11,200000000,130709589
392,CTRA003910,8,2022-03-11,200000000,115873973
393,CTRA003910,9,2022-04-11,200000000,125868493
394,CTRA003910,10,2022-05-11,200000000,119465753
395,CTRA003910,11,2022-06-11,200000000,121027397
396,CTRA003910,12,2022-07-11,200000000,114780822
397,CTRA003910,13,2022-08-11,200000000,116186301
398,CTRA003910,14,2022-09-11,200000000,113765753
399,CTRA003910,15,2022-10-11,200000000,107753425
400,CTRA003910,16,2022-11-11,200000000,108924658
401,CTRA003910,17,2022-12-11,200000000,103068493
402,CTRA003910,18,2023-01-11,200000000,104083562
403,CTRA003910,19,2023-02-11,200000000,101663014
404,CTRA003910,20,2023-03-11,200000000,89638356
405,CTRA003910,21,2023-04-11,200000000,96821918
406,CTRA003910,22,2023-05-11,200000000,91356164
407,CTRA003910,23,2023-06-11,200000000,91980822
408,CTRA003910,24,2023-07-11,200000000,86671233
409,CTRA003910,25,2023-08-11,200000000,87139726
410,CTRA003910,26,2023-09-11,200000000,84719178
411,CTRA003910,27,2023-10-11,200000000,79643836
412,CTRA003910,28,2023-11-11,200000000,79878082
413,CTRA003910,29,2023-12-11,200000000,74958904
414,CTRA003910,30,2024-01-11,200000000,75036986
415,CTRA003910,31,2024-02-11,200000000,72616438
416,CTRA003910,32,2024-03-11,200000000,65667123
417,CTRA003910,33,2024-04-11,200000000,67775342
418,CTRA003910,34,2024-05-11,200000000,63246575
419,CTRA003910,35,2024-06-11,200000000,62934247
420,CTRA003910,36,2024-07-11,200000000,58561644
421,CTRA003910,37,2024-08-11,200000000,58093151
422,CTRA003910,38,2024-09-11,200000000,55672603
423,CTRA003910,39,2024-10-11,200000000,51534247
424,CTRA003910,40,2024-11-11,200000000,50831507
425,CTRA003910,41,2024-12-11,200000000,46849315
426,CTRA004063,1,2021-12-24,266666667,179506849
427,CTRA004063,2,2022-01-24,266666667,182398904
428,CTRA004063,3,2022-02-24,266666667,179307397
429,CTRA004063,4,2022-03-24,266666667,159162740
430,CTRA004063,5,2022-04-24,266666667,173124384
431,CTRA004063,6,2022-05-24,266666667,164547945
432,CTRA004063,7,2022-06-24,266666667,166941370
433,CTRA004063,8,2022-07-24,266666667,158564384
434,CTRA004063,9,2022-08-24,266666667,160758356
435,CTRA004063,10,2022-09-24,266666667,157666849
436,CTRA004063,11,2022-10-24,266666667,149589041
437,CTRA004063,12,2022-11-24,266666667,151483836
438,CTRA004063,13,2022-12-24,266666667,143605479
439,CTRA004062,1,2021-12-02,264880000,183529184
440,CTRA004062,2,2022-01-02,264880000,186486043
441,CTRA004062,3,2022-02-02,264880000,183325262
442,CTRA004062,4,2022-03-02,264880000,162729209
443,CTRA004062,5,2022-04-02,264880000,177003701
444,CTRA004062,6,2022-05-02,264880000,168235085
445,CTRA004062,7,2022-06-02,264880000,170682141
446,CTRA004062,8,2022-07-02,264880000,162117445
447,CTRA004062,9,2022-08-02,264880000,164360580
448,CTRA004062,10,2022-09-02,264880000,161199800
449,CTRA004062,11,2022-10-02,264880000,152940986
450,CTRA004062,12,2022-11-02,264880000,154878239
451,CTRA004062,13,2022-12-02,264880000,146823347
452,CTRA004062,14,2023-01-02,264880000,148556678
453,CTRA004062,15,2023-02-02,264880000,145395898
454,CTRA004062,16,2023-03-02,264880000,128470428
455,CTRA004062,17,2023-04-02,264880000,139074337
456,CTRA004062,18,2023-05-02,264880000,131529248
457,CTRA004062,19,2023-06-02,264880000,132752776
458,CTRA004062,20,2023-07-02,264880000,125411609
459,CTRA004062,21,2023-08-02,264880000,126431215
460,CTRA004062,22,2023-09-02,264880000,123270435
461,CTRA004062,23,2023-10-02,264880000,116235150
462,CTRA004062,24,2023-11-02,264880000,116948874
463,CTRA004062,25,2023-12-02,264880000,110117510
464,CTRA004062,26,2024-01-02,264880000,110627313
465,CTRA004062,27,2024-02-02,264880000,107466533
466,CTRA004062,28,2024-03-02,264880000,97576349
467,CTRA004062,29,2024-04-02,264880000,101144972
468,CTRA004062,30,2024-05-02,264880000,94823412
469,CTRA004062,31,2024-06-02,264880000,94823412
470,CTRA004062,32,2024-07-02,264880000,88705772
471,CTRA004062,33,2024-08-02,264880000,88501851
472,CTRA004062,34,2024-09-02,264880000,85341070
473,CTRA004062,35,2024-10-02,264880000,79529313
474,CTRA004062,36,2024-11-02,264880000,79019510
475,CTRA004062,37,2024-12-02,264880000,73411673
476,CTRA004063,14,2023-01-24,266666667,145300822
477,CTRA004063,15,2023-02-24,266666667,142209315
478,CTRA004063,16,2023-03-24,266666667,125654794
479,CTRA004063,17,2023-04-24,266666667,136026301
480,CTRA004063,18,2023-05-24,266666667,128646575
481,CTRA004063,19,2023-06-24,266666667,129843288
482,CTRA004063,20,2023-07-24,266666667,122663014
483,CTRA004063,21,2023-08-24,266666667,123660274
484,CTRA004063,22,2023-09-24,266666667,120568767
485,CTRA004063,23,2023-10-24,266666667,113687671
486,CTRA004063,24,2023-11-24,266666667,114385753
487,CTRA004063,25,2023-12-24,266666667,107704109
488,CTRA004063,26,2024-01-24,266666667,108202740
489,CTRA004063,27,2024-02-24,266666667,105111233
490,CTRA004063,28,2024-03-24,266666667,95437808
491,CTRA004063,29,2024-04-24,266666667,98928219
492,CTRA004063,30,2024-05-24,266666667,92745205
493,CTRA004063,31,2024-06-24,266666667,92745205
494,CTRA004063,32,2024-07-24,266666667,86761644
495,CTRA004063,33,2024-08-24,266666667,86562192
496,CTRA004063,34,2024-09-24,266666667,83470685
497,CTRA004063,35,2024-10-24,266666667,77786301
498,CTRA004063,36,2024-11-24,266666667,77287671
499,CTRA004063,37,2024-12-24,266666667,71802740
500,CTRA004088,1,2021-10-09,16666667,9238356
501,CTRA004088,2,2021-11-09,16666667,9347420
502,CTRA004088,3,2021-12-09,16666667,8853425
503,CTRA004088,4,2022-01-09,16666667,8949658
504,CTRA004088,5,2022-02-09,16666667,8750776
505,CTRA004088,6,2022-03-09,16666667,7724292
506,CTRA004088,7,2022-04-09,16666667,8353014
507,CTRA004088,8,2022-05-09,16666667,7891096
508,CTRA004088,9,2022-06-09,16666667,7955251
509,CTRA004088,10,2022-07-09,16666667,7506164
510,CTRA004088,11,2022-08-09,16666667,7557489
511,CTRA004088,12,2022-09-09,16666667,7358607
512,CTRA004088,13,2022-10-09,16666667,6928767
513,CTRA004088,14,2022-11-09,16666667,6960845
514,CTRA004088,15,2022-12-09,16666667,6543836
515,CTRA004088,16,2023-01-09,16666667,6563082
516,CTRA004088,17,2023-02-09,16666667,6364201
517,CTRA004088,18,2023-03-09,16666667,5568676
518,CTRA004088,19,2023-04-09,16666667,5966438
519,CTRA004088,20,2023-05-09,16666667,5581507
520,CTRA004088,21,2023-06-09,16666667,5568676
521,CTRA004088,22,2023-07-09,16666667,5196575
522,CTRA004088,23,2023-08-09,16666667,5170913
523,CTRA004088,24,2023-09-09,16666667,4972032
524,CTRA004088,25,2023-10-09,16666667,4619178
525,CTRA004088,26,2023-11-09,16666667,4574269
526,CTRA004088,27,2023-12-09,16666667,4234246
527,CTRA004088,28,2024-01-09,16666667,4176507
528,CTRA004088,29,2024-02-09,16666667,3977625
529,CTRA004088,30,2024-03-09,16666667,3534954
530,CTRA004088,31,2024-04-09,16666667,3579863
531,CTRA004088,32,2024-05-09,16666667,3271918
532,CTRA004088,33,2024-06-09,16666667,3182100
